,date,state,fips,cases,deaths,New Cases,New Deaths,population
13860,2020-10-18,Pennsylvania,42,0.01456426701551288,0.0006671091186993376,8.593270003584688e-05,1.559577133136967e-06,12823989
13861,2020-10-19,Pennsylvania,42,0.014694491706129817,0.0006676549706959356,0.00013022469061693673,5.458519965979384e-07,12823989
13862,2020-10-20,Pennsylvania,42,0.014815047018521304,0.0006699163575389842,0.00012055531239148754,2.261386843048602e-06,12823989
13863,2020-10-21,Pennsylvania,42,0.014921020284717961,0.0006728795540919445,0.0001059732661966569,2.9631965529602373e-06,12823989
13864,2020-10-22,Pennsylvania,42,0.015081188856291127,0.0006752968986483067,0.0001601685715731665,2.417344556362299e-06,12823989
13865,2020-10-23,Pennsylvania,42,0.015257265114622292,0.0006780261586312964,0.00017607625833116356,2.729259982989692e-06,12823989
13866,2020-10-24,Pennsylvania,42,0.01539068693836216,0.0006800536089043744,0.00013342182373986752,2.027450273078057e-06,12823989
13867,2020-10-25,Pennsylvania,42,0.01549876563368855,0.000680755418614286,0.0001080786953263918,7.018097099116352e-07,12823989
13868,2020-10-26,Pennsylvania,42,0.015693088944477417,0.000681301270610884,0.0001943233107888661,5.458519965979384e-07,12823989
13869,2020-10-27,Pennsylvania,42,0.015870256906801775,0.0006830947843139915,0.00017716796232435946,1.793513703107512e-06,12823989
13870,2020-10-28,Pennsylvania,42,0.016052103600525548,0.0006853561711570402,0.00018184669372377034,2.261386843048602e-06,12823989
13871,2020-10-29,Pennsylvania,42,0.016226386345153603,0.0006883973465666572,0.00017428274462805607,3.0411754096170858e-06,12823989
13872,2020-10-30,Pennsylvania,42,0.016421255507939065,0.0006908926699796764,0.00019486916278546403,2.4953234130191474e-06,12823989
13873,2020-10-31,Pennsylvania,42,0.016595148358283837,0.0006926861836827839,0.00017389285034477182,1.793513703107512e-06,12823989
13874,2020-11-01,Pennsylvania,42,0.01672646475289397,0.0006930760779660681,0.00013131639461013263,3.8989428328424174e-07,12823989
13875,2020-11-02,Pennsylvania,42,0.016940360756703705,0.0006934659722493524,0.000213896003809735,3.8989428328424174e-07,12823989
13876,2020-11-03,Pennsylvania,42,0.017164004117595548,0.0006960392745190284,0.00022364336089184106,2.5733022696759955e-06,12823989
13877,2020-11-04,Pennsylvania,42,0.01738016150824833,0.0006992364076419591,0.0002161573906527836,3.1971331229307824e-06,12823989
13878,2020-11-05,Pennsylvania,42,0.01759967198973736,0.0007025115196215468,0.0002195104814890281,3.2751119795876305e-06,12823989
