,date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime,population
99,2016,North Dakota,0.0015001893442861721,0.00010592687338296007,0.0038597104488916076,1.9861288759305013e-05,0.016442498920869977,0.0026137456007245398,0.023021881843869087,0.0004409206104565713,0.00023965955102894717,0.0022006307945309955,755238
100,2017,North Dakota,0.0016100884754209931,8.474149870636805e-05,0.0033750950031645652,1.1916773255583009e-05,0.015886382835609437,0.0022866963791546508,0.02163291571663502,0.00047402275838874633,0.00024230772286352117,0.0023383357299288435,755238
101,2018,North Dakota,0.0017173394347212401,5.0315264856906035e-05,0.0032122324353382643,1.9861288759305013e-05,0.014658955190284387,0.0021860658494408385,0.020107568739920395,0.0004806431879751813,0.00020920557493134614,0.0024270494863870727,755238
102,2019,North Dakota,0.0016551073966087511,0.00010989913113482107,0.0032148806071728383,3.0453976097601023e-05,0.01433985048421822,0.0022641869185607718,0.01992881714108665,0.0005362547965012354,0.00023303912144251215,0.0024548552906500996,755238
103,1991,South Carolina,0.004869209867091538,0.00023384154896642035,0.008481374029361066,7.447558576325488e-05,0.020407882543158503,0.0022435033315543035,0.031366601453040294,0.0005109143086661285,0.0011308891716821422,0.006585488933203063,5088916
104,1992,South Carolina,0.005179099045847878,0.0002483829562130717,0.00977202217525304,7.467209126658802e-05,0.023017672132925753,0.002760902321830425,0.035798979586222295,0.0005735995642293958,0.001252133067238681,0.007079503768582543,5088916
105,1993,South Carolina,0.005620646911837413,9.373312508990127e-05,0.00933774501288683,7.663714629991927e-05,0.023400464853418686,0.0027188501441171363,0.03555079313551255,0.0005342984635627705,0.0013745559958152189,0.0076061385175153215,5088916
106,1994,South Carolina,0.005818920964700537,0.00015838343568649985,0.009307679670876862,7.034897019325924e-05,0.024680894713137336,0.002973914287443534,0.03712087210714423,0.0005608267065127426,0.0013918484801085339,0.007841945121515074,5088916
107,1995,South Carolina,0.004767616521868311,0.00016054499622316422,0.007480178489878787,4.873336482661533e-05,0.02097165683222124,0.0023720179307341683,0.030984398249057365,0.00045215916316952373,0.001014164902702265,0.0062826739525667155,5088916
108,1996,South Carolina,0.005644424077740721,0.00020279367943978638,0.009371150948453462,6.681187113326296e-05,0.025958180484802657,0.0031886948025866414,0.03872081991528255,0.0005382285736294331,0.0012894691128719751,0.007538933635375392,5088916
109,1997,South Carolina,0.005634205791567399,0.0002206756802431009,0.009181326632233663,6.248875005993418e-05,0.026291060807448974,0.00314900069091335,0.038842063810839086,0.0005590581569827445,0.0013238575759552723,0.007579610274565349,5088916
110,1998,South Carolina,0.005302307996437748,0.0001908068437364657,0.008853358947170674,6.130971703993542e-05,0.025371022040843277,0.0032152230455366132,0.03763041087728703,0.0005215256058461173,0.0011971115263054058,0.007082254845629207,5088916
111,1999,South Carolina,0.005061392249351335,0.00021517352614977336,0.007962599500561612,5.600406844994101e-05,0.024293385860564412,0.002926949472146917,0.03539810835942271,0.0005073772096061322,0.0012126354610687226,0.006837408988476131,5088916
112,2000,South Carolina,0.0049366112547348,0.0002051517454797839,0.007902468816541676,5.89516509999379e-05,0.024854212567077153,0.0031346557891700315,0.036096488918268645,0.000496176395916144,0.0012340545609320335,0.0067257938625829156,5088916
113,2001,South Carolina,0.004634778801615118,0.0001880557666898019,0.007758626788101828,6.465031059659857e-05,0.02326703761665549,0.0031116646452800556,0.03432538481672718,0.0004478360420961949,0.001091588071015517,0.006238853225323428,5088916
114,2002,South Carolina,0.005156893923971235,0.00014718262199651163,0.008571570055390972,6.013068401993666e-05,0.024811570872853864,0.003374982019746445,0.03690530556998779,0.0005431412112127612,0.001157024403625448,0.006917190222829381,5088916
115,2003,South Carolina,0.005011479851504721,0.00017174580991315242,0.008615980299144258,5.934466200660416e-05,0.02571058355060292,0.00322131471613994,0.037719624375800266,0.0005175954957794549,0.0011489676779887898,0.00673738768727957,5088916
116,2004,South Carolina,0.005053728534721343,0.00021831761420310338,0.008533251482241011,5.600406844994101e-05,0.026449837254142138,0.0031886948025866414,0.038390101153172894,0.0004938183298761465,0.0010823523123588599,0.006685903245406291,5088916
117,2005,South Carolina,0.004880214175278193,0.0002281428893697597,0.00833261936333789,6.209573905326792e-05,0.025648291306046317,0.003333322853039822,0.03754237641179379,0.0005071807041027992,0.0011216534130254851,0.006571144031459745,5088916
118,2006,South Carolina,0.0049755193443947595,0.0002574222093663955,0.00842438743339446,7.09384867032586e-05,0.025468292264993173,0.0033508118428364703,0.037500913750590496,0.0004735782630328345,0.0011694042503354349,0.006689440344466287,5088916
119,2007,South Carolina,0.005159448495514566,0.0002668544735263856,0.008777900833890753,7.152800321325798e-05,0.025778377949252848,0.003457317825643025,0.03828045108231301,0.0004741677795428339,0.0012568491993186761,0.006961993477589333,5088916
120,2008,South Carolina,0.004738337201871675,0.00021733508668643774,0.008872616486497321,6.013068401993666e-05,0.025502877233579805,0.0035044791464429754,0.03809730795320654,0.0004439059320295324,0.0012935957284419708,0.006535969546363115,5088916
121,2009,South Carolina,0.004548512885651876,0.0001670296778331574,0.008767486042214098,5.973767301327041e-05,0.023917274327184806,0.0027803563666604046,0.035632146413892465,0.0004409583494795355,0.001133836754232139,0.006183045662376821,5088916
