date,state,aggravated-assault,arson,burglary,homicide,larceny,motor-vehicle-theft,property-crime,rape,robbery,violent-crime
2004,Nebraska,454.0,,,11.0,,768.0,768.0,232.0,,697.0
2004,New Hampshire,711.0,190.0,2910.0,9.0,12300.0,1063.0,16463.0,447.0,158.0,1325.0
2004,Ohio,8545.0,1420.0,54550.0,339.0,148530.0,27083.0,231583.0,2936.0,12342.0,24162.0
2004,Oregon,1554.0,270.0,5154.0,17.0,24921.0,3015.0,33360.0,365.0,326.0,2262.0
2004,Rhode Island,69.0,7.0,155.0,5.0,273.0,192.0,627.0,27.0,34.0,135.0
2004,South Carolina,25718.0,1111.0,43425.0,285.0,134601.0,16227.0,195364.0,2513.0,5508.0,34024.0
2004,South Dakota,288.0,23.0,1095.0,9.0,3364.0,283.0,4765.0,105.0,19.0,421.0
2004,Tennessee,29783.0,1508.0,60571.0,356.0,172651.0,24756.0,259486.0,3043.0,8928.0,42110.0
2004,Texas,4595.0,250.0,15454.0,65.0,56721.0,5650.0,78075.0,1332.0,1639.0,7631.0
2004,Utah,2742.0,247.0,10501.0,41.0,59563.0,6789.0,77100.0,1201.0,1051.0,5035.0
2004,Virginia,11352.0,1651.0,27945.0,391.0,157214.0,17608.0,204418.0,2846.0,6879.0,21468.0
2004,Vermont,448.0,98.0,3272.0,16.0,10234.0,600.0,14204.0,183.0,76.0,723.0
2004,Wisconsin,14.0,1.0,36.0,,496.0,31.0,564.0,42.0,2.0,58.0
2004,West Virginia,3638.0,577.0,10006.0,66.0,29279.0,3484.0,43346.0,579.0,710.0,4993.0
2005,Arkansas,5706.0,427.0,17964.0,106.0,47029.0,4025.0,69445.0,923.0,1127.0,7862.0
2005,Arizona,254.0,8.0,679.0,2.0,1687.0,355.0,2729.0,24.0,9.0,289.0
2005,Colorado,9572.0,960.0,25609.0,144.0,91678.0,21745.0,139992.0,2031.0,3339.0,15086.0
2005,Connecticut,1520.0,263.0,5916.0,45.0,27183.0,3367.0,36729.0,476.0,1000.0,3041.0
2005,DC,121.0,,5.0,,680.0,259.0,944.0,2.0,198.0,321.0
2005,Delaware,3810.0,385.0,6070.0,41.0,19239.0,2351.0,28045.0,464.0,1367.0,5682.0
2005,Georgia,52.0,3.0,178.0,,368.0,148.0,697.0,8.0,63.0,123.0
2005,Iowa,6575.0,597.0,17650.0,40.0,61076.0,5614.0,84937.0,1055.0,1151.0,8821.0
2005,Idaho,2798.0,284.0,7752.0,41.0,27834.0,2953.0,38823.0,715.0,262.0,3816.0
2005,Illinois,2.0,,1.0,,5.0,,6.0,2.0,,4.0
2005,Kansas,5651.0,727.0,12956.0,49.0,49869.0,4691.0,68243.0,1009.0,919.0,7628.0
2005,Kentucky,458.0,41.0,1407.0,9.0,6056.0,460.0,7964.0,152.0,129.0,748.0
2005,Louisiana,2503.0,51.0,2450.0,18.0,8964.0,1009.0,12474.0,133.0,196.0,2850.0
2005,Massachusetts,14126.0,624.0,23753.0,90.0,67668.0,11153.0,103198.0,1570.0,3717.0,19503.0
2005,Maine,65.0,12.0,449.0,,2732.0,136.0,3329.0,35.0,32.0,132.0
2005,Michigan,36811.0,3225.0,69700.0,648.0,194030.0,48583.0,315538.0,7691.0,13360.0,58510.0
2005,Montana,1900.0,158.0,3312.0,19.0,22509.0,1821.0,27800.0,326.0,176.0,2421.0
2005,North Dakota,404.0,69.0,1774.0,11.0,8808.0,1037.0,11688.0,203.0,47.0,665.0
2005,Nebraska,357.0,,,3.0,,719.0,719.0,253.0,,613.0
2005,New Hampshire,768.0,257.0,2985.0,14.0,14130.0,1002.0,18374.0,462.0,200.0,1444.0
2005,Ohio,8809.0,1481.0,58206.0,460.0,155458.0,28852.0,243997.0,3103.0,13473.0,25845.0
2005,Oregon,1579.0,213.0,5581.0,18.0,25401.0,3174.0,34369.0,362.0,356.0,2315.0
2005,Rhode Island,919.0,218.0,3470.0,14.0,14581.0,2179.0,20448.0,321.0,350.0,1604.0
2005,South Carolina,24835.0,1161.0,42404.0,316.0,130522.0,16963.0,191050.0,2581.0,5708.0,33440.0
2005,South Dakota,223.0,29.0,820.0,9.0,2770.0,272.0,3891.0,100.0,14.0,346.0
2005,Tennessee,32588.0,1463.0,61370.0,430.0,171494.0,24634.0,258961.0,2932.0,10072.0,46022.0
2005,Texas,6827.0,316.0,18872.0,85.0,72277.0,8570.0,100035.0,1843.0,2020.0,10775.0
2005,Utah,2915.0,298.0,10903.0,45.0,58745.0,7758.0,77704.0,1171.0,917.0,5048.0
2005,Virginia,11698.0,1682.0,30194.0,458.0,157932.0,16419.0,206227.0,2783.0,7495.0,22434.0
2005,Vermont,522.0,82.0,3070.0,8.0,10527.0,665.0,14344.0,178.0,72.0,780.0
2005,Washington,1.0,,,,2.0,2.0,4.0,,,1.0
2005,Wisconsin,2838.0,266.0,4866.0,122.0,22688.0,6674.0,34494.0,448.0,2952.0,6360.0
2005,West Virginia,3472.0,459.0,10390.0,78.0,31162.0,3618.0,45629.0,603.0,770.0,4923.0
2006,Alabama,31.0,5.0,305.0,2.0,1920.0,156.0,2386.0,18.0,82.0,133.0
2006,Arkansas,6246.0,409.0,20233.0,107.0,48209.0,4007.0,72858.0,1012.0,1263.0,8628.0
